ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210225,cpc,search.naver.com,13,23595,12679,NSA_3dp
20210227,cpc,search.naver.com,6,7722,1110,NSA_INJ
20210227,cpc,search.naver.com,17,19272,24108,NSA_cnc
20210224,cpc,search.naver.com,13,32835,2048,NSA_cnc_Mobile
20210224,cpc,search.naver.com,1,330,62,NSA_3dp_Mobile
20210222,cpc,search.naver.com,9,0,20,NSA_Brand_Search
20210223,cpc,search.naver.com,7,12309,987,NSA_INJ_Mobile
20210228,cpc,search.naver.com,2,649,107,NSA_3dp_Mobile
20210226,cpc,search.naver.com,13,10681,3510,NSA_SHT
20210228,cpc,search.naver.com,15,8492,2846,NSA_SHT
20210228,cpc,search.naver.com,0,0,173,NSA_Brand
20210223,cpc,search.naver.com,15,0,36,NSA_Brand_Search
20210224,cpc,search.naver.com,12,25982,36322,NSA_cnc
20210228,cpc,search.naver.com,15,22198,1558,NSA_cnc_Mobile
20210226,cpc,search.naver.com,15,40535,11387,NSA_3dp
20210224,cpc,search.naver.com,1,66,530,NSA_Brand
20210228,cpc,search.naver.com,15,29601,9710,NSA_3dp
20210227,cpc,search.naver.com,0,0,5,NSA_Brand_Search
20210227,cpc,search.naver.com,13,32923,1544,NSA_cnc_Mobile
20210226,cpc,search.naver.com,4,0,22,NSA_Brand_Search
20210225,cpc,search.naver.com,9,0,26,NSA_Brand_Search
20210222,cpc,search.naver.com,1,77,608,NSA_Brand
20210227,cpc,search.naver.com,0,0,105,NSA_3dp_Mobile
20210224,cpc,search.naver.com,16,13310,2714,NSA_INJ
20210224,cpc,search.naver.com,7,0,23,NSA_Brand_Search
20210301,cpc,search.naver.com,6,23441,12926,NSA_3dp
20210226,cpc,search.naver.com,5,12155,909,NSA_INJ_Mobile
20210222,cpc,search.naver.com,24,59631,44902,NSA_cnc
20210222,cpc,search.naver.com,22,24530,3135,NSA_INJ
20210301,cpc,search.naver.com,28,15532,3883,NSA_SHT
20210222,cpc,search.naver.com,9,20603,2253,NSA_cnc_Mobile
20210222,cpc,search.naver.com,1,308,63,NSA_3dp_Mobile
20210225,cpc,search.naver.com,3,7678,1294,NSA_INJ_Mobile
20210228,cpc,search.naver.com,0,0,662,NSA_SHT_Mobile
20210223,cpc,search.naver.com,25,49841,13629,NSA_3dp
20210301,cpc,search.naver.com,8,16984,783,NSA_INJ_Mobile
20210223,cpc,search.naver.com,0,0,569,NSA_Brand
20210225,cpc,search.naver.com,1,66,447,NSA_Brand
20210227,cpc,search.naver.com,5,6105,707,NSA_SHT_Mobile
20210222,cpc,search.naver.com,17,18634,15525,NSA_3dp
20210301,cpc,search.naver.com,15,25564,22294,NSA_cnc
20210301,cpc,search.naver.com,11,22825,1518,NSA_cnc_Mobile
20210301,cpc,search.naver.com,8,11506,1512,NSA_INJ
20210225,cpc,search.naver.com,0,0,53,NSA_3dp_Mobile
20210225,cpc,search.naver.com,8,15851,1962,NSA_cnc_Mobile
20210301,cpc,search.naver.com,1,385,61,NSA_3dp_Mobile
20210226,cpc,search.naver.com,2,132,386,NSA_Brand
20210223,cpc,search.naver.com,32,45309,53519,NSA_cnc
20210222,cpc,search.naver.com,11,21329,989,NSA_INJ_Mobile
20210226,cpc,search.naver.com,0,0,41,NSA_3dp_Mobile
20210228,cpc,search.naver.com,2,0,6,NSA_Brand_Search
20210226,cpc,search.naver.com,3,7359,1459,NSA_cnc_Mobile
20210223,cpc,search.naver.com,18,31702,2967,NSA_INJ
20210227,cpc,search.naver.com,8,15730,1072,NSA_INJ_Mobile
20210225,cpc,search.naver.com,28,55077,35689,NSA_cnc
20210227,cpc,search.naver.com,20,14135,3072,NSA_SHT
20210225,cpc,search.naver.com,13,15752,2761,NSA_INJ
20210223,cpc,search.naver.com,0,0,52,NSA_3dp_Mobile
20210228,cpc,search.naver.com,9,16357,617,NSA_INJ_Mobile
20210301,cpc,search.naver.com,3,4840,786,NSA_SHT_Mobile
20210301,cpc,search.naver.com,1,0,5,NSA_Brand_Search
20210223,cpc,search.naver.com,8,16808,2225,NSA_cnc_Mobile
20210227,cpc,search.naver.com,11,40216,9115,NSA_3dp
20210228,cpc,search.naver.com,5,8525,1074,NSA_INJ
20210226,cpc,search.naver.com,18,16357,2415,NSA_INJ
20210224,cpc,search.naver.com,17,27214,12775,NSA_3dp
20210301,cpc,search.naver.com,0,0,209,NSA_Brand
20210224,cpc,search.naver.com,10,15400,1219,NSA_INJ_Mobile
20210227,cpc,search.naver.com,0,0,257,NSA_Brand
20210226,cpc,search.naver.com,0,0,493,NSA_SHT_Mobile
20210228,cpc,search.naver.com,10,14905,18093,NSA_cnc
20210226,cpc,search.naver.com,22,40447,32205,NSA_cnc
